eventSequence,eventType,levelId,playerId,position,reason,sessionId,timestamp,viewBeforeEvent
-1,Lose,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 13.459990501403809, 'y': -16.521583557128906, 'z': -0.5}",KillZone,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009327861,N/A
-1,Start,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 16.0, 'y': -14.0, 'z': -0.5}",N/A,506b00d5-d719-4667-9b23-6554b485d5ab,1744009329975,Platformer
1,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 16.0, 'y': -14.0, 'z': -0.5}",N/A,506b00d5-d719-4667-9b23-6554b485d5ab,1744009330940,Platformer
-1,Start,Level3,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': 16.0, 'y': -14.0, 'z': -0.5}",N/A,0c83de9d-9a6e-49e0-9bed-c1e766d5db90,1744009452939,Platformer
2,Shift,Level3,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': 13.999996185302734, 'y': -11.0, 'z': -0.5}",N/A,0c83de9d-9a6e-49e0-9bed-c1e766d5db90,1744009481127,TopDown
3,Shift,Level3,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': -0.3999963700771332, 'y': -5.0, 'z': -0.5}",N/A,0c83de9d-9a6e-49e0-9bed-c1e766d5db90,1744009483601,Platformer
-1,Win,Level3,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': -1.1324882507324219e-06, 'y': -4.000007152557373, 'z': -0.5}",N/A,0c83de9d-9a6e-49e0-9bed-c1e766d5db90,1744009488584,N/A
-1,Start,Level4,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': 17.5, 'y': -10.5, 'z': -0.5}",N/A,00bcd17e-7e6b-4431-be64-2392220b8778,1744009491338,Platformer
1,Shift,Level4,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': 17.5, 'y': -10.5, 'z': -0.5}",N/A,00bcd17e-7e6b-4431-be64-2392220b8778,1744009492458,Platformer
2,Shift,Level4,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': 5.5, 'y': -12.5, 'z': -0.5}",N/A,00bcd17e-7e6b-4431-be64-2392220b8778,1744009496985,TopDown
3,Shift,Level4,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': 1.5, 'y': -7.5, 'z': -0.5}",N/A,00bcd17e-7e6b-4431-be64-2392220b8778,1744009504109,Platformer
-1,Win,Level4,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': 0.5000000596046448, 'y': -7.50000524520874, 'z': -0.5}",N/A,00bcd17e-7e6b-4431-be64-2392220b8778,1744009509606,N/A
-1,Start,Level5,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': 17.5, 'y': -9.9399995803833, 'z': -0.5}",N/A,f585b197-39b8-43c7-bbf4-e6e12860d739,1744009510796,Platformer
-1,Start,Level5,243ffcf7-6e84-4d91-b69e-b57203cc0c5e,"{'x': 17.5, 'y': -9.9399995803833, 'z': -0.5}",N/A,5b526ff7-1ad2-4127-ad10-9fad8b78d85e,1744009516410,Platformer
